1,1,0.16666666666666666,ExampleAgent@2,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
1,2,0.16666666666666666,ExampleAgent@3,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
2,1,0.3333333333333333,ExampleAgent@2,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
2,2,0.3333333333333333,ExampleAgent@3,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
3,1,0.5,ExampleAgent@2,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 13(0)])
3,2,0.5,ExampleAgent@3,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
4,1,0.6666666666666666,ExampleAgent@2,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
4,2,0.6666666666666666,ExampleAgent@3,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
5,1,0.8333333333333334,ExampleAgent@2,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
5,2,0.8333333333333334,ExampleAgent@3,(Accept  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
agreement,Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)],0.17976727693965824,0.5115066953839005
